number,comments,star
91,什么都不想说了，美团第一次差评，本来不想写评论的，但是还是忍不住，就是一锅龙辛方便面加辣酱煮的白菜，成本不超过15块钱，还好意思卖这么贵，什么吃的都没有，让服务员打碗饭说凑合吃吧，饭还要3块钱一碗，真是6666，这样昧良心挣钱，我只见过这一家！,-1.0
92,吃过那么多家德本，只有观音桥这家最好吃，每次来都是人山人海，有时候还要等，拉面好好吃,1.0
93,不好吃 特别是炸鸡太难吃了再也不会去,-1.0
94,确实料变少了全是白菜而且当天去服务员态度很差可能要收餐了，但是以前经常去以后可能不会去了。,-1.0
95,吃了不止一两次了吧，有空再来，好评。,0.0
96,没有沙坪坝那家的炒饭好吃 牛肉也很少,0.0
97,一直很想吃的，终于吃到了！味道棒棒的,1.0
98,分量少，味道不好，服务也不好。。,-1.0
99,巨差无比，坑坑坑，难吃，贵，表示这一辈子不会有下次了,-1.0
100,不错，块，但是好像很少，面只有一半,0.0
101,很不错。 生意没以前好了。 味道可以。但是的确不划算。 一锅里面除了白菜就是泡面和年糕,0.0
102,很一般吧 特别的辣 而且分量也少,-1.0
103,我自己觉得还是不划算，还是不要团购好，在店里点菜，直接一个小锅48，然后再点小吃，还好些，这个就是一个锅，里面就是白菜，豆芽，菜，一点肉，土豆没有，午餐肉几块，,0.0
104,太辣了～点的芝士年糕火锅，然而没想到那么辣。而且芝士很少,0.0
105,服务态度一点也不好美团价格和店内差不多，三十八一份的炸鸡直接用一次性盒子装，看到大概就没胃口了，份量也很少,-1.0
106,经常去吃,1.0
107,经常吃,1.0
108,以前去过一次，这是第二次，味道和以前差不多，就是有点辣，忘记拍照片，最后才拍了一个，只不过朋友说像泡方便面，就是一锅方便面加素菜，加了一点点鸡肉而已，太划不来😸😸，额，芝士年糕没有之前芝士那么多的感觉，总体还是好评,1.0
109,还不错，人很多，味道不错就是有点辣，第一次吃，忘记叫老板少放点辣椒了,0.0
110,还不错  可以吃  经常来这里吃给  哈哈哈,0.0
111,鸡肉很嫩，但不入味，只有外皮有味，总体来说一般吧，,1.0
112,量不多 感觉没吃饱 幸好套餐里有炒饭 两人团购的,-1.0
113,可以吃  哈哈哈  经常来这里吃  就这样,0.0
114,小姐姐人很好，服务态度简直满分，订单什么的没到小姐姐们也不急最后还给我的团购的优惠价付的现金，最后有点晚了订单终于有了我再按小姐姐教我的退了钱，而且店里生意很火爆，环境也很好，就是吃之前在楼下买了些小甜品吃结果害得我们不能好好享受德本家的美味，真的是自作孽奥๏̯͡๏，不过还是没有浪费的把没吃完的炸鸡打包了，嘻嘻，给德本家笔芯(•̀o•́)ง #芝士锅拼部队锅# #味道还可以。# #锅#,1.0
115,看起来不错、女朋友很喜欢吃，我还是偏向喜欢川味！,0.0
116,有点油。 整体味道一般吧。。。。。,-1.0
117,非常好吃,1.0
118,比较辣！味道还行。口味不是很正宗！,0.0
119,感觉还不错 喜欢吃里面的方便面,1.0
120,超级好吃，分量也足！！！！！！！,1.0
121,口味挺正宗的，吃饭的时候隔壁桌是两个韩国女生吃饭聊天，喝酒一瓶接一瓶，听不懂在说什么😂,1.0
122,年糕火锅感觉不太适合我吃，价钱和份量还可以，里面的配菜不是很喜欢,0.0
123,年糕火锅味道蛮不错的，有辣、有酸，还有点甜，当然主要以辣为主，不是呛人的辣，很温和，个人蛮喜欢的。蔬菜年糕分量蛮足，两人餐两个女生吃够了。火锅味儿不重，环境也不错，适合边吃小憩闲聊。米酒的味道个人觉得一般。,1.0
124,就还好  服务态度不怎么样  味道不是特别好吃  一般般  两个人可能刚刚够,0.0
125,东西很少  基本全是白菜  很尴尬  不推荐,-1.0
126,挺好的。吃了几家韩国火锅，个人觉得就德本家的好吃。,1.0
127,好吃好吃  反正物超所值  吃货的口福,1.0
128,可以！两人完全够吃了！热热的。,0.0
129,哎 无法用语言形容 锅里面除了年糕 其余的不都是重庆火锅里面的菜 除了辣味没有其他的 联系谨慎选择,-1.0
130,火锅量太少还全是菜 只能说是一般,-1.0
131,菜品一般 服务员态度慢  上菜速度超级慢,-1.0
132,还行吧 没什么特别的 味道还行吧 就这样,0.0
133,喜欢 吃过很多次了,1.0
134,吃的很好，就是服务员不是太热情…有点不搭理人自己玩,1.0
135,味道还可以 就是服务员不怎么热情 你说要是人很多吧我可以理解 又没几个人吃饭服务员也不管我们 让我们自生自灭 沙坪坝这边都是到煮好服务员才离开的 万一是第一次来吃的客人怎么办,1.0
136,每次吃这个，肚子都感觉胀气，不晓得是什么原因,0.0
137,主要是陪人去吃、不然肯定不会去吃的、就一锅泡面和烂白菜、有啥好吃的！,-1.0
138,看着还是可以，之前有在其他店吃过，这个店是第一次。还是棒棒棒吧！,1.0
139,味道很赞 上次吃多加了一份芝士 本来就份量多  又多加了一份 图片就不要上了 反正是够了 #牛肉锅拼芝士锅# #芝士锅拼牛肉锅# #辣白菜# #葡萄饮料# #紫菜包饭# #鱼豆腐# #牛肉卷# #紫菜卷# #芝士球#,0.0
140,芝士的，黏糊糊的。味道不错 就是吃的时候，你懂的,1.0
141,好次 喜欢他们家的炒饭,1.0
142,服务跟不上 锅都煮好了 筷子还没给 结果看见服务员现装的筷子 你装就装吧 不能先装两双给我们用到起吗 非要装很大一把 再分给我们两双 啥子服务 老板不管哈迈,1.0
143,味道还是不错的，两个人也可以吃很饱了,1.0
144,味道还行，服务员也很好，态度很好 #芝士锅拼牛肉锅#,1.0
145,美团量很少,1.0
146,炸鸡好吃，可是部队火锅的味道好像差一点 但总体来说还不错。,1.0
147,比较辣，有点不划算，全是白菜，以后不会再去了吧,-1.0
148,一百块吃一锅方便面少还难吃，不会再去！,-1.0
149,还好吧 反正就是部队火锅 但是分量有点少啊,0.0
150,菜很难吃，就是泡面煮白菜加辣椒面。还不如自己在家煮的泡面好吃,-1.0
151,个人口味不太一样。也不是很喜欢。,0.0
152,挺好吃的。去过好多次了，相当适合哈韩的朋友去，放的MV都是韩国的😂,1.0
153,好吃，超级喜欢这味道,1.0
154,炸鸡好吃 强烈推荐哦,1.0
155,菜品一般不划算,1.0
156,#芝士锅拼牛肉锅# #特色炒饭#,1.0
157,还行，感觉量有点少，最后还加了好多菜。味道还是可以,1.0
158,芝士牛肉锅，服务员忘了牛肉…好在最后补上了～最爱他家方面面，裹着芝士一起超级棒～炒饭比我以前吃的好吃了，因为米饭没那么硬了～ #芝士锅拼牛肉锅# #韩式炒饭# #农心拉面#,1.0
159,水壶盖子有点灰麻烦清洗哈呗……,0.0
160,菜品还行 口味一般 价格挺实惠的 份量也还ok,0.0
161,挺好的，去了几次了。味道正。服务态度也好,0.0
162,很早去吃了，炸鸡有点甜，总体还不错哟，感谢服务小姐姐提醒我们炸鸡可以团。,1.0
163,来了无数次了，次次都给别人推荐！,1.0
164,味道还行吧，不过没有以前我在南坪吃的那个好吃,1.0
165,吃了好几次不错,1.0
166,好吃是好吃，很正宗，但是服务员的态度就不摆了，水喝完了想让他们加点水，结果半天没人理，站在那里吹夸夸,-1.0
167,每隔一段时间必去,1.0
168,好久都想吃了，今天终于有时间去吃了，味道很不错，炸鸡肉也很嫩，服务很好，年糕特别好吃!环境干净，安静，感觉很舒服，和朋友吃的很开心!下次可以再去!,1.0
169,超级难吃。。也不知道哪来的这么多好评，奔着五星来的，结果太失望了！！差评！！,-1.0
170,菜品味道还可以、上菜很快，两个人团购的86的套餐，吃得饱饱的，芝士年糕个人很钟爱，总的来说很不错叻！ #芝士锅# #芝心年糕#,1.0
171,肉没多少，白菜太多了，感觉除了白菜没啥吃的,1.0
172,偏辣，份量一般,1.0
173,炸鸡味道不错,1.0
174,不好吃  如果去了就不再去了 真的  没有吃完又去吃的肯德基,0.0
175,夾心年糕拼盘只看到了2块夹心年糕，而其他桌不像这样，有点过分了,0.0
176,喜欢吃辣的 感觉挺好吃的 就是分量再足一点就更好了,1.0
177,炸鸡很好吃啊,1.0
178,和弟弟去吃的，不错，小孩也挺适合吃的，推荐，下次会去的,1.0
179,分量少，除了白菜就是白菜 感觉不满意，以后感觉都不会吃什么年糕火锅了,0.0
180,味道一般般吧~~,1.0
181,还不错服务态度也挺好。味道好吃,1.0
182,都是白菜。没沙坪坝的，好吃。再也不来了,-1.0
183,好吃  买了好多次了。。朋友喜欢吃,1.0
184,两个人去吃的，还没有吃完，还点了一份辣白菜和一份寿司，可能比较多就吃不完，牛肉锅底牛肉只有那几片，里面基本都是素菜!!!点的炒饭还行，锅里面味道还行，白菜有点多，但是我比较喜欢吃白菜哈哈，总体只能说一般，,0.0
185,味道一般 锅比想象中的小很多 要的芝士年糕锅 结果肉都没有 锅里二分之一都是白菜叶 肉只有一个鸡蛋还有蛋饼样的东西 甜辣酱炸鸡也不是很好吃 鸡肉太大一坨 也不够酥 如果肉可以小点口感会更好的 服务态度很不错 老板是韩国人哈哈,1.0
186,菜煮膨胀了，整个一大锅，吃不了,1.0
187,好吃好吃卖了好几次  味道不错,1.0
188,服务没以前好了，味道也不如以前,0.0
189,店还可以，最主要的是和乖妹子吃饭,1.0
190,有点辣，不是特别适合不吃辣的人，肉肉还是很少的，想吃肉的最好不团，份量足，只是感觉并没吃到想吃的,0.0
191,留在观音桥美食街楼上。团的是双人餐，到了店里。告诉我们是单人锅，除了白菜很多，其他东西都很少。和妹妹两个人，我们两个女生刚刚够吃，炒饭没味道，不算好吃。,-1.0
192,味道可以，不过我一个人吃，有点腻,1.0
193,这个相当不错,1.0
194,一如既往的好吃  只是这次锅底略辣  脑仁疼简直,1.0
195,在年糕火锅中算是不错的了 一般两个人吃比较有情调 两人餐分量也是很足,1.0
196,分量很足！两个人都吃不完 ，吃的很撑,1.0
197,早在一年前就想吃的德本家，满满的韩国味儿，分量很足，但因为我吃的比较多，所以后来又要了一份泡面，价格也实惠，而且我还是老板的小迷妹儿😄😉，下次再来重庆，我还要来呢😍,1.0
198,朋友说，味道还是可以  就是白菜有点多了,0.0
199,味道一般，人有点多。,1.0
200,挺好吃的，那段时间特别想吃芝士，味道好，以后想吃咯还会来的。,1.0
201,味道还不错，份量很足，服务质量很好，环境也好,1.0
202,很久了才来吃一回。味道还是很不错。,1.0
203,味道还行，只是不晓得炸鸡为哈子要用个纸碗装呀，像吃外卖样。,0.0
204,不知道怎么回事，味道和以前差很远。以前刚开业的时候去吃，还看来自星星的你，那个时候觉得味道很棒。一周去几次？再说，很久，从外地回来去，感觉味道差太多了。,0.0
205,怎么说呢，感觉没以前好了，特别是炒饭，态度也一般,-1.0
206,团购去尝尝味道，还不错的，就是两个人吃真的真的好多呀，很喜欢，有空去了还会再去的,1.0
207,味道没有以前好了，分量也不是很足了，特别是那个芝士年糕才只有2个,0.0
208,超级好吃的！很久不吃会很想吃一次！推荐,1.0
209,和男票一起去吃的  东西确实好次 服务员态度也好 #年糕火锅#,1.0
210,味道一般，里面菜也很少，味道没有好正，应该不会再去，,0.0
211,#芝士锅# #年糕火锅# #韩式炒饭#,1.0
212,很辣，白菜很多，其他东西一般，还行,0.0
213,儿子喜欢吃，排骨很多，过段时间就会来吃一次,1.0
214,炸鸡很好吃，下次还点,1.0
215,味道还可以，分量一般，。。。。,0.0
216,一颗星都不想评的 小姐姐的服务态度很好 但是 真的很难吃 和其他家比起来真的…… 吃了以后感觉很想吐 然后炒饭没盐,-1.0
217,完全不是韩国炸鸡，口味很差。很腻。。。都无法描述它有多差。真心没有吃过比这个更难吃的。,-1.0
218,好吃，干净卫生,1.0
219,想了很久一直想去吃，这次老公回重庆就去团了一份来吃，本来很期待的，结果吃了感觉一般吧，性价比不高，2人餐比较适合胃口不好的人去吃，因为分量确实有点少，味道我觉得那个鸡还有点好吃，部队火锅将就，再说下环境吧，比较简单，呵呵 #甜辣酱炸鸡#,0.0
220,好吃不多说,1.0
221,味道没有以前好了是配方变了嘛，不知道怎么回事，味道和以前差太远了。,-1.0
222,很棒 吃过不下5次了～可以吃得很饱！,1.0
223,不好吃，态度也不咋的，九点过点就说你们先把点菜的钱交了，我们要做账了，，,-1.0
224,已经是多次回头客了.炒鸡锅是新出的。味道很赞。性价比高。老板很热情。服务也是从未怠慢。忠粉呢。喜欢韩国料理的吃货们值得一去哟❤支持德本家🤔🤔,1.0
225,这家店第一次去吃，味道还行，适合耍朋友的去！光线很暗！！！！,0.0
226,我们本来点的68的，结果给我们上成了86的，还要我们补差价，我们两个根本吃不完，最后剩了一大半,-1.0
227,一家4口因为娃娃不吃辣的，推荐了这个团购，挺好，鸳鸯锅，菜品挺足,1.0
228,去了几次了。越来越辣。一次比一次辣呀。 不过还是喜欢。偶尔吃吃还行。再便宜点就更好了。,1.0
229,感觉贵了点 东西也还一般吧 两个人吃不饱的,1.0
230,老板是韩国人，态度很好，感觉再去几次就变小迷妹了，味道也很好，下次还去!,1.0
231,寿司在右手边，一共八个，味道还行，,0.0
232,我们是两个人点的三人餐 太多了 完全吃不完,1.0
233,味道不错，店面干净，服务周到,1.0
234,火锅有点其实比我想象中辣，但是那个炸鸡这么多超级好吃，喜欢,1.0
235,年糕超好吃，下次再去单点一份年糕，还有炸鸡也很不错！,1.0
236,味道不错，服务还好。第一次吃，感觉还好，就是位置有点偏,0.0
237,吃过很多次了 主要是就这么一家 还是可以,1.0
238,一般,1.0
239,一般,1.0
240,一般,1.0
241,炒鸡好好吃，里面的菜也很多，三个人吃都完全够了,1.0
242,还不错,1.0
243,还可以。牛肉火锅菜不多不过也够两个人吃,1.0
244,可能人太多了，没有给我好好弄，真心不好吃！！,0.0
245,味道好，地方也不错，消费便宜。可以尝尝,1.0
246,很不错。上菜速度快。下次会再来。,1.0
247,味道还是挺不错的，两个妹子吃的太撑了~,1.0
248,紫菜包饭缩水了，态度也没有以前好了,-1.0
249,额，加强版的韩国火鸡面,1.0
250,就炸鸡好吃点  辣白菜全是梗   有个韩国人过来服务  说那个芝士的要煮到什么时候再吃  其实他是眼神里一脸的不屑   感觉我们都不会吃  年糕火锅没想象中的好吃  味道淡得很 我们重庆人口味又重得很  总之不是好对付  我胃口算大的  两个人没吃完  主要是年糕太难吃了 炸鸡是韩式炸鸡还是不错的,0.0
251,老板态度很好 味道还是可以 就是太辣了 我完全就是一口菜一口水 遭不住的辣呀 喝了小半碗汤 还是好喝 就是辣,1.0
252,德本家的还是可以记不得这家店了,1.0
253,一如既往的好吃,1.0
254,上菜很快，就是有点热，吃的时候,1.0
255,勉强吧，不能说好吃但是也不难吃,1.0
256,昨天女朋友过生日，她几个朋友都推荐到这家店来，果然没让我们失望。,0.0
257,去年圣诞吃的～冬天吃很暖的 🌵🌵🌵,1.0
258,味道相当不错，服务态度很好，下次一定还会再来,1.0
259,还不错吧，感觉,1.0
260,不错，环境可以，性价比高，味道挺好,1.0
261,服务超级差，一直来关火，鱼饼都没煮软就把火关了，开了又给我关，连着三次，真是无语！年糕都没煮耙。根本咬不动！我多煮一会儿能烧光她家气还是怎地,-1.0
262,就是白菜有点多，建议多配菜种类,0.0
263,口味很一般，完全是迷你，里边的料也很少，头一次吃到让人无法想象的寿司，再也不想吃得寿司。,-1.0
264,不太好吃，环境也不怎么好，位置也难找,-1.0
265,白菜太多了，两个人吃稍微有点少,1.0
266,还行吧！帮朋友团的！,1.0
267,还行吧！帮朋友团的！,1.0
268,还可以吧！但以后可能不会再去了！,1.0
269,价格公道便宜，味道和分量都挺满意的。,1.0
270,火锅味道还是可以 不过那个炒饭太难吃！！！干的要死 吃一口就想吐,0.0
271,感觉炒饭和以前的不一样了，以前的好吃一点，然后我们两个女生点的两人餐还没吃完，味道还行吧。,1.0
272,菜不太新鲜，服务好，灯上虫子掉锅里.....,0.0
273,喜欢炸鸡喜欢芝士！好吃会再去,1.0
274,环境就是有点热 两个人去吃 我那朋友太能吃了 完全没够 一直就想着要去吃一次 这次终于去了 店家服务态度很好哇 赞👍,1.0
275,很一般，辣得不行…下次不会点辣的了,0.0
276,甜辣味道的炸鸡第一次吃 很脆爽口,1.0
277,几个月前吃的了 都忘了什么味了 就记得辣,1.0
278,挺好的，分量足，菜品味道好？，,1.0
279,菜品很好，味道也不错，好吃又不贵,1.0
280,一般般吧，没有惊喜,1.0
281,性价比低，味道也一般，一锅大白菜，金针菇，几块排骨,0.0
282,味道好像不如以前好,1.0
283,还不错吧，两个人吃份量合适，不过里面的东西不够丰富，要是再丰富一点就好了。芝士年糕很喜欢，口感不错,1.0
284,老板很贴心，照顾我们这些乡里娃,1.0
285,中午和妹妹两个人去吃的，到了地方，验了码，后厨也在准备东西，结果公司一个电话，让我回去处理事情，没办法，只有留她一个人吃，还好处理的快，妹妹吃饱了还给我留了一半，老板看我狼吞虎咽的吃，不知道是不是怕我吃不饱，送了一份他自己做的炒饭，很是感动，说实话，没得这份炒饭，我还真没吃饱。和妹妹经常去吃，也带家人去吃过，他们都喜欢，尤其是老妈，一段时间不吃，天天念，让我带她去吃。,1.0
286,还可以的，环境很好……味道还可以的,0.0
287,这个寿司卷很好吃 和外面店铺做的不一样,1.0
288,还不错，来过几次了,1.0
289,好吃，非常喜欢德本家，很好吃。,1.0
290,很喜欢德本家，一直支持。,1.0
291,环境服务还不错，只不过味道只能说吃得来的觉得可以,-1.0
292,服务员爱答不理，感觉欠了她几百亿。菜品一般，味道很赞，但是不知道为什么芝士融化后是一坨坨的，没有拉丝，吃起也没有芝士味,0.0
293,肉块太大，菜种类少。但量多，送得也快。,0.0
294,感觉鸡肉没有味道，没有52的好吃！里面只有年糕，土豆，白菜，没有鱼饼这些！,1.0
295,份量小年糕只有几个其他全是白菜,0.0
296,炒饭不好吃,1.0
297,炸鸡很好吃，但火锅里的面只有半个，两个人吃有点不够哦！不过配料比较多，味道也挺好的。 #甜辣酱炸鸡#,1.0
298,服务员很热情，菜品好吃,1.0
299,太辣了，一个不小心就会沾些油在衣服上！,-1.0
300,不错哟，菜很好吃，排骨也很入味,1.0
301,有点小贵，不过味道真心不错，以后有机会再来吧。,1.0
302,太辣了，吃不惯，辣到哭，嘤嘤嘤,0.0
303,来了好多次了很好吃,1.0
304,说真的，二个人真不吃不饱，真的很,0.0
305,还好还好还好，挺喜欢的，就是我们去太晚了,0.0
306,不知道为什么，没有以前的味道好了,1.0
307,味道还不错，就是真的环境有点热,1.0
308,味道不错，以后会经常跟朋友一起来光顾,0.0
309,很好 很喜欢 味道不错 有点辣,1.0
310,口感一般，环境可以，份量一般，下次应该不得去了,0.0
311,已经是第三次去了，小伙伴们都很喜欢，味道不错。,1.0
312,感觉没以前好吃咯 不过性价比还是挺高的,1.0
313,性价比高份量十足，味道还可以，儿子喜欢吃,1.0
314,跟朋友去吃的！金针菇有虫子！服务员也主动给换了！服务态度还是很不错的！都没吃完！可能不太喜欢这个味道,0.0
315,特别好吃 老板是韩国人 服务也很好,1.0
316,如果好多次啦，味道没有变，棒棒,1.0
317,来吃过无数次了，就是喜欢这个味道！去其他家吃过根本没法比。,1.0
318,之难吃？ 吃完还想吐是个什么鬼？,-1.0
319,是韩国人开的店，整个店里面有一种和谐的感觉，不像其他店一样很吵。坏境还是挺不错的。辣白菜熟了很好吃哦，只是很辣💛 #年糕火锅# #部队锅#,1.0
320,喜欢~芝士很好吃 环境很好 味道也不错,1.0
321,挺好的，两个人没吃完，买的双拼，可能是都是瘦子吃不到个什么！😂😂,1.0
322,太辣了，感觉自己不太喜欢,1.0
